"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
013633,97693311,SHG0991003L7057,01/09/2017,,"MTC-New York(1290 Avenue of)",,,,3M2-00005,Standard,"1290 Avenue of the Americas5th Floor","New York",NY,10104,"United States",,,01/10/2017,,FEDEX,,,
013632,97693311,SHG0991003L7058,01/09/2017,,"MTC - Reston(12012 Sunset H)",,,,3M2-00005,Standard,"12012 Sunset Hills Rd",Reston,VA,20190,"United States",,,01/10/2017,,FEDEX,,,
013631,97693311,SHX0991003G00MN,01/09/2017,,"MTC London (Building Three)",,,,3M2-00005,Standard,"Building Three, Microsoft Campus, Thames Valley Park,",Reading,.,"RG6 1WG","United Kingdom",,,01/10/2017,DAP,FEDEX,,,
013630,97693311,SHG0991003L705H,01/09/2017,,"MTC-Boston(One Cambridge )",,,,3M2-00005,Standard,"One Cambridge Center",Cambridge,MA,2142,"United States",,,01/10/2017,,FEDEX,,,
013629,97693311,SHX0991003G00N4,01/09/2017,,"Microsoft Corporation (1065 La Aveni)",,,,3M2-00005,Standard,"1065 La Avenida Silicon Valley Campus - Bldg",Mountainview,CA," 94043","United States",,,01/10/2017,,FEDEX,,,
013628,97693311,SHX0991003G00MM,01/09/2017,,"Microsoft Corporation (1065 La Aveni)",,,,3M2-00005,Standard,"1065 La Avenida Silicon Valley Campus - Bldg 1","Mountain View",CA,94043,"United States",,,01/10/2017,,FEDEX,,,
013627,97693311,SHG0991003L705D,01/09/2017,,"MTC - Philadelphia Tom Hirt(45 liberty bou)",,,,3M2-00005,Standard,"45 Liberty Boulevard",Malvern,PA,19355,"United States",,,01/10/2017,,FEDEX,,,
013626,6000416030,SSG0997879L70JS,01/09/2017,01/09/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/10/2017,,FEDEX,,,
013625,6000416028,SHG0997879L72N9,01/09/2017,01/09/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/10/2017,,FEDEX,,,
013624,6000416029,SHG0997879L72PK,01/09/2017,01/09/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/10/2017,,FEDEX,,,
013623,6000416027,SHG0997877L72H9,01/09/2017,01/09/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/10/2017,,FEDEX,,,
013622,6000416026,SHG0997877L72HG,01/09/2017,01/09/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,01/10/2017,,FEDEX,,,
013621,97693311,SHX0991003G00MR,01/09/2017,,"Microsoft Corporation (1065 La Aveni)",,,,3M2-00005,Standard,"1065 La Avenida Silicon Valley Campus - Bldg ","Mountain View ",CA,94043,"United States",,,01/10/2017,,FEDEX,,,
013620,97693311,SHX0991003G00DX,01/09/2017,,"Microsoft Corporation (1065 La Aveni)",,,,3M2-00005,Standard,"1065 La Avenida Silicon Valley Campus - Bldg ",Mountainview,CA,94043,"United States",,,01/10/2017,,FEDEX,,,
013618,6000415504,SHG0997879L7FQ9,01/05/2017,01/06/2017,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98059,"United States",,,01/06/2017,,FEDEX,,,
013616,6000415479,49635718,01/05/2017,01/06/2017,"After Post Productions Inc.",3M2-00001,8100,1.00,3M2-00005,Standard,"23 Fraser Ave",Toronto,ON,M6K1Y7,Canada,SHG0997879L7J2E,,01/10/2017,,FEDEX,701542245794,01/12/2017,01/12/2017
013615,6000415478,47264842,01/05/2017,01/06/2017,"Sol-Tec Ltd",3M2-00002,8600,1.00,3M2-00005,Standard,"2 Richfield Avenue, Thames Court",Reading,,"RG1 8EQ","United Kingdom",SHG0997877L7JGH,,01/10/2017,DAP,DHL,7216381395,01/11/2017,01/12/2017
013614,6000415477,80207126,01/05/2017,01/06/2017,"Computerland UK Ltd",3M2-00002,8600,4.00,3M2-00006,Premium,"Finch House, Finch Close, Lenton La",Nottingham,NTT,"NG7 2NN","United Kingdom","SHG0997877L7JFV
SHG0997877L7JGA
SHG0997877L7JM4
SHG0997877L7JVK",,01/24/2017,DAP,DHL,7216381653,01/26/2017,01/30/2017
